model,hypernym,backbone_acc,shuffle_type,category,avg_cosine
Qwen3-0.6B,vegetable,0.9294478527607362,original,vegetable,0.2909545
Qwen3-0.6B,vegetable,0.9294478527607362,shuffled,vegetable,0.09471787
Qwen3-0.6B,vegetable,0.9294478527607362,local_shuffled,vegetable,0.27907947
Qwen3-0.6B,vehicle,0.8732057416267942,original,vehicle,0.266092
Qwen3-0.6B,vehicle,0.8732057416267942,shuffled,vehicle,0.09682093
Qwen3-0.6B,vehicle,0.8732057416267942,local_shuffled,vehicle,0.25010836
Qwen3-0.6B,watercraft,0.9527027027027027,original,watercraft,0.39036003
Qwen3-0.6B,watercraft,0.9527027027027027,shuffled,watercraft,0.12020045
Qwen3-0.6B,watercraft,0.9527027027027027,local_shuffled,watercraft,0.3594098
Qwen3-0.6B,weapon,0.8513119533527697,original,weapon,0.1831309
Qwen3-0.6B,weapon,0.8513119533527697,shuffled,weapon,0.10580211
Qwen3-0.6B,weapon,0.8513119533527697,local_shuffled,weapon,0.184069
Qwen3-0.6B,women's clothing,0.85,original,piece of women's clothing,0.3113411
Qwen3-0.6B,women's clothing,0.85,shuffled,piece of women's clothing,0.13348475
Qwen3-0.6B,women's clothing,0.85,local_shuffled,piece of women's clothing,0.30778614
Qwen3-1.7B,animal,0.9942893401015228,original,animal,0.2051288
Qwen3-1.7B,animal,0.9942893401015228,shuffled,animal,0.090857334
Qwen3-1.7B,animal,0.9942893401015228,local_shuffled,animal,0.20254579
Qwen3-1.7B,arts and crafts supply,0.875886524822695,original,arts and crafts item,0.24844842
Qwen3-1.7B,arts and crafts supply,0.875886524822695,shuffled,arts and crafts item,0.10601016
Qwen3-1.7B,arts and crafts supply,0.875886524822695,local_shuffled,arts and crafts item,0.22475216
Qwen3-1.7B,bird,0.9893992932862191,original,bird,0.300626
Qwen3-1.7B,bird,0.9893992932862191,shuffled,bird,0.11928343
Qwen3-1.7B,bird,0.9893992932862191,local_shuffled,bird,0.300626
Qwen3-1.7B,body part,0.8888888888888888,original,body part,0.202576
Qwen3-1.7B,body part,0.8888888888888888,shuffled,body part,0.15639178
Qwen3-1.7B,body part,0.8888888888888888,local_shuffled,body part,0.20257601
Qwen3-1.7B,breakfast food,0.9453125,original,breakfast food,0.35988823
Qwen3-1.7B,breakfast food,0.9453125,shuffled,breakfast food,0.09803817
Qwen3-1.7B,breakfast food,0.9453125,local_shuffled,breakfast food,0.3598882
Qwen3-1.7B,candy,0.9393939393939394,original,candy,0.36110884
Qwen3-1.7B,candy,0.9393939393939394,shuffled,candy,0.13753448
Qwen3-1.7B,candy,0.9393939393939394,local_shuffled,candy,0.3611088
Qwen3-1.7B,clothing,0.8973717146433041,original,item of clothing,0.2369512
Qwen3-1.7B,clothing,0.8973717146433041,shuffled,item of clothing,0.10755572
Qwen3-1.7B,clothing,0.8973717146433041,local_shuffled,item of clothing,0.23520032
Qwen3-1.7B,clothing accessory,0.9071207430340558,original,clothing accessory,0.2317462
Qwen3-1.7B,clothing accessory,0.9071207430340558,shuffled,clothing accessory,0.114947446
Qwen3-1.7B,clothing accessory,0.9071207430340558,local_shuffled,clothing accessory,0.2295899
Qwen3-1.7B,condiment,0.9552238805970149,original,condiment,0.44059435
Qwen3-1.7B,condiment,0.9552238805970149,shuffled,condiment,0.23226248
Qwen3-1.7B,condiment,0.9552238805970149,local_shuffled,condiment,0.44059435
Qwen3-1.7B,construction equipment,0.9257950530035336,original,construction equipment,0.18503499
Qwen3-1.7B,construction equipment,0.9257950530035336,shuffled,construction equipment,0.11658626
Qwen3-1.7B,construction equipment,0.9257950530035336,local_shuffled,construction equipment,0.18582436
Qwen3-1.7B,container,0.9496402877697842,original,container,0.19905068
Qwen3-1.7B,container,0.9496402877697842,shuffled,container,0.1040496
Qwen3-1.7B,container,0.9496402877697842,local_shuffled,container,0.19243497
Qwen3-1.7B,dessert,0.9623824451410659,original,dessert,0.37246186
Qwen3-1.7B,dessert,0.9623824451410659,shuffled,dessert,0.11260643
Qwen3-1.7B,dessert,0.9623824451410659,local_shuffled,dessert,0.3717235
Qwen3-1.7B,drink,0.9866666666666667,original,drink,0.41713497
Qwen3-1.7B,drink,0.9866666666666667,shuffled,drink,0.15769655
Qwen3-1.7B,drink,0.9866666666666667,local_shuffled,drink,0.41713497
Qwen3-1.7B,electronic device,0.8984674329501916,original,electronic device,0.28890124
Qwen3-1.7B,electronic device,0.8984674329501916,shuffled,electronic device,0.10897642
Qwen3-1.7B,electronic device,0.8984674329501916,local_shuffled,electronic device,0.2786257
Qwen3-1.7B,farm animal,0.9603960396039604,original,farm animal,0.34861273
Qwen3-1.7B,farm animal,0.9603960396039604,shuffled,farm animal,0.12287014
Qwen3-1.7B,farm animal,0.9603960396039604,local_shuffled,farm animal,0.34861273
Qwen3-1.7B,fastener,0.898989898989899,original,fastener,0.21381739
Qwen3-1.7B,fastener,0.898989898989899,shuffled,fastener,0.11766047
Qwen3-1.7B,fastener,0.898989898989899,local_shuffled,fastener,0.2252174
Qwen3-1.7B,food,0.9784598815293484,original,food,0.24699682
Qwen3-1.7B,food,0.9784598815293484,shuffled,food,0.09101702
Qwen3-1.7B,food,0.9784598815293484,local_shuffled,food,0.24577776
Qwen3-1.7B,footwear,0.8923076923076924,original,footwear,0.3542999
Qwen3-1.7B,footwear,0.8923076923076924,shuffled,footwear,0.14953789
Qwen3-1.7B,footwear,0.8923076923076924,local_shuffled,footwear,0.35429987
Qwen3-1.7B,fruit,0.985663082437276,original,fruit,0.29510063
Qwen3-1.7B,fruit,0.985663082437276,shuffled,fruit,0.0997812
Qwen3-1.7B,fruit,0.985663082437276,local_shuffled,fruit,0.2962357
Qwen3-1.7B,furniture,0.9664804469273743,original,furniture,0.3364628
Qwen3-1.7B,furniture,0.9664804469273743,shuffled,furniture,0.1119088
Qwen3-1.7B,furniture,0.9664804469273743,local_shuffled,furniture,0.3364628
Qwen3-1.7B,game,0.9493670886075949,original,game,0.298181
Qwen3-1.7B,game,0.9493670886075949,shuffled,game,0.18781182
Qwen3-1.7B,game,0.9493670886075949,local_shuffled,game,0.298181
Qwen3-1.7B,garden tool,0.92,original,garden tool,0.21203487
Qwen3-1.7B,garden tool,0.92,shuffled,garden tool,0.15348417
Qwen3-1.7B,garden tool,0.92,local_shuffled,garden tool,0.18081675
Qwen3-1.7B,hardware,0.93048128342246,original,hardware item,0.21859309
Qwen3-1.7B,hardware,0.93048128342246,shuffled,hardware item,0.10434082
Qwen3-1.7B,hardware,0.93048128342246,local_shuffled,hardware item,0.21124896
Qwen3-1.7B,headwear,0.9058823529411765,original,headwear,0.28326228
Qwen3-1.7B,headwear,0.9058823529411765,shuffled,headwear,0.12713054
