run_name,overall,total_illegal_ratio,mammal,construction equipment,scientific equipment,furniture,animal,game,outerwear,condiment,musical,item of clothing,insect,electronic device,vehicle,home appliance,home decor item,fruit,food,car part,drink,seafood,sports equipment,office supply item,farm animal,school supply,footwear,watercraft,container,kitchen appliance,fastener,source of light,protective clothing item,plant,vegetable,piece of jewelry,sea animal,arts and crafts item,body part,headwear,weapon,medical equipment,garden tool,candy,safety equipment,toy,dessert,kitchen tool,tool,personal hygiene item,piece of women's clothing,bird,clothing accessory,breakfast food,hardware item
align-dinov2+500m-things+hyp-abl70-218-random,0.6869870168631548,0.0,0.8774038461538461,0.543859649122807,0.5789473684210527,0.6952789699570815,0.7352537722908093,0.8453038674033149,0.6774193548387096,0.7604790419161677,0.665,0.7254901960784313,0.6335078534031413,0.6947674418604651,0.7530120481927711,0.5418326693227091,0.6245210727969349,0.5933609958506224,0.752283105022831,0.8153846153846154,0.8967391304347826,0.6078431372549019,0.6366666666666667,0.6902173913043478,0.7105263157894737,0.7164179104477612,0.7085714285714285,0.6902173913043478,0.8014354066985646,0.6596858638743456,0.6053811659192825,0.6687116564417178,0.7202380952380952,0.6834862385321101,0.6033755274261603,0.7468354430379747,0.5912698412698413,0.6016597510373444,0.815068493150685,0.7678571428571429,0.6398467432950191,0.589622641509434,0.6842105263157895,0.8571428571428571,0.6428571428571429,0.6388888888888888,0.7148148148148148,0.6381909547738693,0.6267605633802817,0.7727272727272727,0.6935483870967742,0.6147859922178989,0.55,0.7066666666666667,0.4534534534534534
align-dinov2+1b-things+hyp-abl90-7-random,0.5583742860937707,0.0,0.3029661016949153,0.5652173913043478,0.6337448559670782,0.6472727272727272,0.2596754057428215,0.649746192893401,0.6394230769230769,0.8333333333333334,0.6693877551020408,0.4412371134020618,0.6650246305418719,0.4092071611253197,0.7307692307692307,0.5431654676258992,0.6123778501628665,0.5955056179775281,0.5404858299595142,0.6550218340611353,0.576036866359447,0.6331877729257642,0.4112676056338028,0.6572769953051644,0.6716417910447762,0.6563876651982379,0.5989583333333334,0.5786802030456852,0.5306553911205074,0.6886792452830188,0.6523605150214592,0.673469387755102,0.6492146596858639,0.4885496183206106,0.5038461538461538,0.6984126984126984,0.6653992395437263,0.5166051660516605,0.852760736196319,0.6304347826086957,0.5472972972972973,0.5654008438818565,0.708994708994709,0.8128342245989305,0.6236559139784946,0.5444015444015444,0.6174496644295302,0.5964912280701754,0.288135593220339,0.6767241379310345,0.6616915422885572,0.4961832061068702,0.52,0.7053941908713693,0.4732394366197183
align-dinov2+1b-things+hyp-abl30cat-218-random,0.5856020942408376,0.0,0.9096045197740112,0.5118483412322274,0.4929577464788732,0.8642857142857143,0.8130434782608695,0.6708860759493671,0.653179190751445,0.8175675675675675,0.7352941176470589,0.86084142394822,0.5956284153005464,0.6884615384615385,0.5985401459854015,0.4798387096774194,0.4690909090909091,0.5617021276595745,0.3374108053007135,0.9435483870967742,0.9302325581395348,0.5274725274725275,0.3233532934131736,0.6171428571428571,0.6453488372093024,0.6153846153846154,0.7575757575757576,0.99009900990099,0.2875536480686695,0.6428571428571429,0.5510204081632653,0.7575757575757576,0.6794871794871795,0.6242038216560509,0.4650205761316872,0.84,0.519650655021834,0.4647302904564315,0.8444444444444444,0.7815126050420168,0.6424581005586593,0.8,0.6986301369863014,0.7791411042944786,0.5605095541401274,0.7162162162162162,0.5900383141762452,0.54,0.2297297297297297,0.7571428571428571,0.6184971098265896,0.5966386554621849,0.4369747899159664,0.6470588235294118,0.5880149812734082
align-dinov2+1b-things+hyp-abl20cat-42-random,0.5663111523301646,0.0,0.1842751842751842,0.4769230769230769,0.4232804232804232,0.7547169811320755,0.55,0.8543689320388349,0.9444444444444444,0.773109243697479,0.4039408866995074,0.912,0.5095541401273885,0.7533333333333333,0.2247838616714697,0.8823529411764706,0.3891213389121339,0.9230769230769232,0.773851590106007,0.8817204301075269,0.9896907216494846,0.4634146341463415,0.2516556291390728,0.54421768707483,0.6590909090909091,0.6423357664233577,0.8279569892473119,0.5486111111111112,0.6829268292682927,0.9310344827586208,0.4853801169590643,0.7636363636363637,0.6258992805755396,0.927710843373494,1.0,0.9473684210526316,0.4256410256410256,0.68,0.9,0.9166666666666666,0.6891891891891891,0.4772727272727273,0.680327868852459,0.922077922077922,0.6464646464646465,0.3903743315508021,0.8947368421052632,0.6643356643356644,0.277511961722488,0.5057471264367817,0.972972972972973,0.9117647058823528,0.8421052631578947,0.4010989010989011,0.2581699346405229
align-dinov2+500m-things+hyp-abl70-7-random,0.676690046261752,0.0,0.8677884615384616,0.5570175438596491,0.5789473684210527,0.648068669527897,0.840877914951989,0.7016574585635359,0.6290322580645161,0.7904191616766467,0.68,0.7745098039215687,0.7120418848167539,0.5901162790697675,0.7710843373493976,0.5697211155378487,0.5862068965517241,0.5933609958506224,0.752283105022831,0.7487179487179487,0.6739130434782609,0.6274509803921569,0.56,0.6739130434782609,0.7473684210526316,0.7014925373134329,0.7428571428571429,0.6358695652173914,0.6555023923444976,0.6230366492146597,0.6233183856502242,0.6687116564417178,0.7142857142857143,0.5871559633027523,0.5611814345991561,0.7721518987341772,0.5873015873015873,0.6390041493775933,0.863013698630137,0.7202380952380952,0.5977011494252874,0.6179245283018868,0.6666666666666666,0.7738095238095238,0.5773809523809523,0.5509259259259259,0.6111111111111112,0.7135678391959799,0.6549295774647887,0.6919191919191919,0.7096774193548387,0.6070038910505836,0.525,0.76,0.5885885885885885
align-dinov2+1b-things+hyp-abl10-218-random,0.8954248366013072,0.0,0.9090909090909092,0.72,0.8913043478260869,0.9615384615384616,0.9930555555555556,0.8823529411764706,1.0,0.96875,0.8,0.9662921348314608,0.8867924528301887,0.92,0.9649122807017544,0.8214285714285714,0.9545454545454546,0.8461538461538461,0.9715909090909092,0.9743589743589745,1.0,0.8125,0.7291666666666666,0.7058823529411765,0.7692307692307693,0.8666666666666667,1.0,1.0,0.935064935064935,0.8292682926829268,0.7804878048780488,1.0,0.8823529411764706,0.9393939393939394,0.94,1.0,0.8793103448275862,0.7142857142857143,0.8260869565217391,0.9743589743589745,0.7777777777777778,0.6792452830188679,0.8787878787878788,0.9782608695652174,0.8148148148148148,0.8666666666666667,0.8923076923076924,0.8260869565217391,0.9519230769230768,0.926829268292683,0.9310344827586208,0.9736842105263158,0.8867924528301887,0.9807692307692308,0.8524590163934426
align-dinov2+500m-things+hyp-abl50-42-random,0.7659632526832818,0.0,0.8857938718662952,0.5585106382978723,0.6885245901639344,0.8722222222222222,0.8894389438943895,0.8979591836734694,0.7639751552795031,0.8129496402877698,0.7973856209150327,0.7867036011080333,0.806060606060606,0.7441077441077442,0.7670682730923695,0.6778846153846154,0.719626168224299,0.8223350253807107,0.8318840579710145,0.9155844155844156,0.9635036496350364,0.5524861878453039,0.8205128205128205,0.7924528301886793,0.7300613496932515,0.7964071856287425,0.8540145985401459,0.7591240875912408,0.7885196374622356,0.8475609756097561,0.7090909090909091,0.7737226277372263,0.7777777777777778,0.6480446927374302,0.7076923076923077,0.8015267175572519,0.6367924528301887,0.7064220183486238,0.9203539823008848,0.5703125,0.7674418604651163,0.68,0.7846153846153846,0.8041958041958042,0.7697841726618705,0.6481481481481481,0.7136363636363636,0.7831325301204819,0.7257617728531855,0.7283236994219653,0.7972972972972973,0.8306010928961749,0.4885844748858447,0.8195876288659794,0.6289752650176679
align-dinov2+500m-things+hyp-abl50-7-random,0.7491358923048935,0.0,0.8941504178272981,0.5851063829787234,0.7158469945355191,0.8555555555555555,0.9257425742574258,0.7619047619047619,0.7453416149068323,0.841726618705036,0.8104575163398693,0.6592797783933518,0.703030303030303,0.7205387205387206,0.8634538152610441,0.7307692307692307,0.7102803738317757,0.8375634517766497,0.8231884057971014,0.8376623376623377,0.9124087591240876,0.574585635359116,0.782051282051282,0.8176100628930818,0.7300613496932515,0.7724550898203593,0.7591240875912408,0.7226277372262774,0.716012084592145,0.725609756097561,0.6909090909090909,0.6788321167883211,0.6875,0.7988826815642458,0.7435897435897436,0.8320610687022901,0.5613207547169812,0.6880733944954128,0.911504424778761,0.5703125,0.7348837209302326,0.6342857142857142,0.7923076923076923,0.8321678321678322,0.7482014388489209,0.7037037037037037,0.6136363636363636,0.7108433734939759,0.6260387811634349,0.7398843930635838,0.777027027027027,0.8961748633879781,0.5707762557077626,0.8195876288659794,0.568904593639576
align-dinov2+1b-things-7-random,0.5246465418418036,0.0,0.2848232848232848,0.5725190839694656,0.5390625,0.6169491525423729,0.2617611580217129,0.5960591133004927,0.6854460093896714,0.8534031413612565,0.5171102661596958,0.2842942345924453,0.5871559633027523,0.3951219512195122,0.3657957244655582,0.5773195876288659,0.567398119122257,0.5523465703971119,0.4582924435721295,0.610655737704918,0.6550218340611353,0.6495726495726496,0.3643617021276595,0.6743119266055045,0.6067961165048543,0.6958333333333333,0.58,0.642512077294686,0.4682080924855491,0.6912442396313364,0.639344262295082,0.6945812807881774,0.6989795918367347,0.4612546125461255,0.5204460966542751,0.6051282051282051,0.4801444043321299,0.5314685314685315,0.8245614035087719,0.6157894736842106,0.5109717868338558,0.5813008130081301,0.6958762886597938,0.765625,0.6041666666666666,0.4980842911877394,0.4673202614379085,0.6394849785407726,0.4407484407484408,0.6115702479338843,0.6666666666666666,0.5234657039711191,0.5387323943661971,0.6451612903225806,0.4801061007957559
align-dinov2+1b-things+hyp-abl50-42-random,0.7671457158450063,0.0,0.9387186629526464,0.5851063829787234,0.6338797814207651,0.8,0.933993399339934,0.782312925170068,0.8260869565217391,0.8489208633093526,0.7908496732026143,0.7146814404432132,0.7454545454545455,0.7777777777777778,0.8875502008032129,0.7211538461538461,0.719626168224299,0.868020304568528,0.8420289855072464,0.8701298701298701,0.9708029197080292,0.5469613259668509,0.8760683760683761,0.710691823899371,0.7116564417177914,0.7844311377245509,0.9051094890510948,0.8467153284671532,0.7190332326283988,0.7804878048780488,0.7333333333333333,0.6496350364963503,0.6944444444444444,0.6759776536312849,0.7128205128205128,0.8320610687022901,0.6415094339622641,0.6926605504587156,0.8938053097345132,0.5703125,0.7813953488372093,0.7142857142857143,0.7923076923076923,0.8881118881118881,0.7194244604316546,0.6666666666666666,0.75,0.6566265060240963,0.7534626038781164,0.7456647398843931,0.8648648648648649,0.8415300546448088,0.4657534246575342,0.6855670103092784,0.6537102473498233
align-dinov2+500m-things+hyp-abl50-218-random,0.7688739312352192,0.0,0.9220055710306406,0.6170212765957447,0.6612021857923497,0.8722222222222222,0.8943894389438944,0.8367346938775511,0.8012422360248447,0.8345323741007195,0.8169934640522876,0.7922437673130194,0.696969696969697,0.6868686868686869,0.891566265060241,0.6875,0.7149532710280374,0.7563451776649747,0.8666666666666667,0.8831168831168831,0.9708029197080292,0.5469613259668509,0.8717948717948718,0.7547169811320755,0.6993865030674846,0.7485029940119761,0.8321167883211679,0.8613138686131386,0.7945619335347432,0.7560975609756098,0.7454545454545455,0.7956204379562044,0.6944444444444444,0.7597765363128491,0.6564102564102564,0.816793893129771,0.6509433962264151,0.7247706422018348,0.9292035398230089,0.5859375,0.7581395348837209,0.6914285714285714,0.7769230769230769,0.8321678321678322,0.7410071942446043,0.6790123456790124,0.6090909090909091,0.7771084337349398,0.6925207756232687,0.7687861271676301,0.7837837837837838,0.8852459016393442,0.4748858447488584,0.8762886597938144,0.6325088339222615
align-dinov2+500m-things+hyp-abl30-218-random,0.8319238900634249,0.0,0.9505703422053232,0.7203389830508474,0.6456692913385826,0.8790322580645161,0.9242761692650334,0.9278350515463918,0.8529411764705882,0.7941176470588235,0.8878504672897196,0.8804780876494024,0.8771929824561403,0.8712871287128713,0.8793103448275862,0.8561151079136691,0.7898550724637681,0.8723404255319149,0.881104033970276,0.8165137614678899,1.0,0.6136363636363636,0.7377049180327869,0.6694915254237288,0.823076923076923,0.7672413793103449,0.931372549019608,0.7657657657657657,0.8086124401913876,0.8373983739837398,0.7777777777777778,0.8080808080808081,0.696969696969697,0.9369369369369368,0.8151260504201681,0.78,0.6708860759493671,0.7785714285714286,0.9473684210526316,0.8316831683168316,0.8012422360248447,0.7788461538461539,0.8118811881188119,0.8461538461538461,0.7916666666666666,0.7058823529411765,0.920863309352518,0.6732673267326733,0.8974358974358975,0.8495575221238938,0.8191489361702128,0.8790322580645161,0.8,0.8846153846153846,0.8
align-dinov2+500m-things+hyp-abl30cat-7-random,0.5720767888307156,0.0,0.8587570621468926,0.5023696682464455,0.4694835680751174,0.7214285714285714,0.8043478260869565,0.6392405063291139,0.630057803468208,0.8175675675675675,0.8235294117647058,0.7961165048543689,0.6557377049180327,0.7576923076923077,0.8102189781021898,0.4798387096774194,0.4836363636363636,0.4893617021276595,0.2711518858307849,0.8951612903225806,0.7674418604651163,0.5054945054945055,0.3173652694610778,0.6171428571428571,0.6395348837209303,0.6153846153846154,0.7954545454545454,0.9702970297029704,0.3240343347639485,0.6483516483516484,0.5510204081632653,0.7348484848484849,0.6602564102564102,0.6178343949044586,0.448559670781893,0.808,0.519650655021834,0.4688796680497925,0.8444444444444444,0.773109243697479,0.6480446927374302,0.6733333333333333,0.6986301369863014,0.7975460122699386,0.5477707006369427,0.6824324324324325,0.475095785440613,0.54,0.2454954954954954,0.7142857142857143,0.7225433526011561,0.6092436974789915,0.4411764705882353,0.6063348416289592,0.5543071161048689
align-dinov2+500m-things+hyp-abl10cat-218-random,0.5786376604850214,0.0,0.8414634146341463,0.7837837837837838,0.3393939393939394,0.3052631578947368,0.6887417218543046,1.0,0.4594594594594595,0.8604651162790697,0.7555555555555555,0.0786240786240786,0.8936170212765957,0.8311688311688312,0.9583333333333334,0.8043478260869565,0.8235294117647058,0.9090909090909092,0.7962962962962963,0.3733333333333333,0.9583333333333334,0.4666666666666667,0.8870967741935484,0.8985507246376812,1.0,0.7948717948717948,0.6896551724137931,1.0,0.1182266009852216,0.9696969696969696,0.873015873015873,0.8461538461538461,0.5238095238095238,0.9444444444444444,0.9574468085106383,0.8928571428571429,0.3209876543209876,0.8214285714285714,1.0,0.5393258426966292,0.8470588235294118,0.6867469879518072,0.4455445544554455,0.8596491228070176,0.6911764705882353,0.7966101694915254,0.3768844221105528,0.78125,0.875,0.3550724637681159,0.4358974358974359,0.9272727272727272,0.4571428571428571,0.3227848101265823,0.7835051546391752
align-dinov2+1b-things+hyp-abl30-7-random,0.8480443974630021,0.0,0.973384030418251,0.7033898305084746,0.6377952755905512,0.8790322580645161,0.9398663697104676,0.9278350515463918,0.8921568627450981,0.8235294117647058,0.9065420560747663,0.8605577689243028,0.9210526315789472,0.900990099009901,0.913793103448276,0.9424460431654677,0.8188405797101449,0.9432624113475178,0.8577494692144374,0.8623853211009175,1.0,0.6439393939393939,0.7158469945355191,0.652542372881356,0.7153846153846154,0.8362068965517241,0.9901960784313726,0.8378378378378378,0.861244019138756,0.8780487804878049,0.7407407407407407,0.797979797979798,0.7171717171717171,0.8648648648648649,0.8403361344537815,0.87,0.8037974683544303,0.8142857142857143,0.9473684210526316,0.801980198019802,0.8012422360248447,0.8269230769230769,0.7722772277227723,0.8653846153846154,0.8333333333333334,0.7941176470588235,0.9064748201438848,0.7524752475247525,0.8760683760683761,0.831858407079646,0.8085106382978723,0.9596774193548387,0.8,0.8942307692307693,0.8
align-dinov2+500m-things+hyp-abl20cat-7-random,0.5769765824252261,0.0,0.2014742014742014,0.4717948717948718,0.4232804232804232,0.8207547169811321,0.8620689655172413,0.7572815533980582,0.9537037037037036,0.773109243697479,0.3990147783251231,0.896,0.5095541401273885,0.76,0.2420749279538905,0.8823529411764706,0.3891213389121339,0.8846153846153846,0.7667844522968198,0.8172043010752689,1.0,0.4695121951219512,0.2516556291390728,0.54421768707483,0.6590909090909091,0.5766423357664233,0.7956989247311828,0.5486111111111112,0.6097560975609756,0.9770114942528736,0.4853801169590643,0.7727272727272727,0.6115107913669064,0.8674698795180723,0.9295774647887324,0.8736842105263158,0.4358974358974359,0.8066666666666666,0.9714285714285714,0.8888888888888888,0.6621621621621622,0.4659090909090909,0.7049180327868853,0.961038961038961,0.6464646464646465,0.4117647058823529,0.8508771929824561,0.5384615384615384,0.1913875598086124,0.4885057471264368,0.9054054054054054,0.8970588235294118,0.7894736842105263,0.4010989010989011,0.2450980392156862
