run_name,overall,total_illegal_ratio,musical,clothing accessory,electronic device,sports equipment,home appliance,game,tool,piece of women's clothing,vehicle,animal,outerwear,piece of jewelry,farm animal,mammal,hardware item,garden tool,body part,dessert,weapon,furniture,school supply,construction equipment,container,toy,medical equipment,breakfast food,vegetable,source of light,scientific equipment,arts and crafts item,food,drink,insect,candy,item of clothing,condiment,fruit,bird,kitchen tool,home decor item,safety equipment,sea animal,watercraft,seafood,office supply item,personal hygiene item,kitchen appliance,footwear,plant,protective clothing item,car part,fastener,headwear
align-dinosiglip+500m-things+hyp-abl50-7,0.9945872801082544,0.0,1.0,1.0,0.991150442477876,1.0,0.9848484848484848,0.9876543209876544,0.9809523809523808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975206611570248,1.0,1.0,1.0,0.989010989010989,0.986842105263158,1.0,0.9863013698630136,0.9950738916256158,1.0,0.989010989010989,1.0,1.0,1.0,0.9850746268656716,0.9876543209876544,0.99645390070922,1.0,1.0,1.0,0.9928057553956836,1.0,0.9833333333333332,1.0,0.9830508474576272,1.0,1.0,1.0,0.9824561403508772,1.0,1.0,0.9743589743589745,1.0,1.0,0.9878048780487804,1.0,0.984375,1.0,1.0
align-dinosiglip+1b-llama-chat-things+hyp-abl30-42,0.9971978557504874,0.0,1.0,0.9929078014184396,0.9949494949494948,0.9838709677419356,1.0,1.0,0.9953271028037384,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,0.995260663507109,1.0,1.0,0.9869281045751634,1.0,1.0,1.0,0.9848484848484848,0.9884169884169884,1.0,0.9944444444444444,1.0,1.0,1.0,1.0,0.9883040935672516,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992248062015504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941176470588236,1.0,0.9923664122137404,1.0,1.0
align-siglip+1b-llama-chat-things+hyp-abl70-42,0.9995059288537548,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl90-7,0.9979674796747968,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.875,1.0,1.0,1.0,,1.0,1.0,1.0
align-dinosiglip+1b-things+hyp-abl50-218,0.998872350022553,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917355371900828,1.0,1.0,1.0,1.0,1.0,1.0,0.9863013698630136,0.9950738916256158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487804,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl30-42-random,0.9920808966861598,0.0,0.9803921568627452,0.9858156028368794,0.9949494949494948,0.995967741935484,0.9930555555555556,0.9929577464788732,0.9953271028037384,0.9925925925925926,0.9959349593495936,1.0,0.9921259842519684,0.9767441860465116,0.9891304347826086,1.0,0.990521327014218,1.0,0.9555555555555556,0.9934640522875816,0.9938271604938272,1.0,0.9851851851851852,0.9924242424242424,0.9768339768339768,0.9850746268656716,0.9888888888888888,1.0,1.0,1.0,0.989247311827957,0.9824561403508772,0.9982046678635548,0.9782608695652174,1.0,0.9736842105263158,1.0,1.0,0.992063492063492,0.9933774834437086,0.9805825242718448,1.0,1.0,0.9807692307692308,0.9926470588235294,1.0,0.988095238095238,0.986206896551724,1.0,1.0,0.9941176470588236,1.0,0.9847328244274808,0.9663865546218487,1.0
align-siglip+1b-llama-things+hyp-abl70-7,0.9995059288537548,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinosiglip+1b-llama-things+hyp-abl30-42,0.9978070175438596,0.0,1.0,0.9929078014184396,1.0,1.0,1.0,0.9929577464788732,0.9953271028037384,1.0,1.0,1.0,1.0,0.9883720930232558,1.0,1.0,0.995260663507109,1.0,0.9888888888888888,1.0,1.0,1.0,1.0,0.9772727272727272,0.9922779922779924,0.9925373134328358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9903846153846154,0.992063492063492,1.0,1.0,1.0,1.0,1.0,0.9926470588235294,1.0,1.0,0.993103448275862,1.0,1.0,0.9941176470588236,1.0,1.0,1.0,0.9910714285714286
align-dinov2+500m-things+hyp-abl90-7-random,0.9735772357723578,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9285714285714286,0.9583333333333334,1.0,,1.0,1.0,,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.972972972972973,0.875,1.0,,1.0,1.0,1.0,1.0,0.96,0.9333333333333332,,1.0,1.0,0.6666666666666666,0.9,1.0,1.0,1.0,0.75,1.0,,,1.0,0.75,0.8333333333333334,1.0,1.0,,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl30-218,0.9969541910331384,0.0,0.9934640522875816,0.9858156028368794,0.9949494949494948,0.995967741935484,0.9930555555555556,0.9929577464788732,0.9906542056074766,1.0,1.0,1.0,1.0,1.0,0.9891304347826086,1.0,0.985781990521327,1.0,1.0,1.0,0.9938271604938272,1.0,1.0,0.9924242424242424,0.9845559845559846,1.0,0.9944444444444444,1.0,1.0,1.0,0.989247311827957,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,0.992063492063492,1.0,1.0,0.994186046511628,0.992248062015504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
