run_name,overall,total_illegal_ratio,body part,animal,clothing accessory,electronic device,home appliance,game,furniture,piece of women's clothing,car part,footwear,watercraft,vegetable,outerwear,food,weapon,piece of jewelry,farm animal,plant,garden tool,fruit,source of light,dessert,item of clothing,drink,bird,container,arts and crafts item,kitchen appliance,headwear,school supply,kitchen tool,candy,safety equipment,tool,vehicle,fastener,mammal,hardware item,musical,sports equipment,seafood,insect,office supply item,protective clothing item,medical equipment,home decor item,construction equipment,toy,condiment,personal hygiene item,breakfast food,scientific equipment,sea animal
align-dinov2+1b-llama-things+hyp-abl10cat-shuffled-42,0.9897222658088812,0.0,0.99375,0.9906040268456376,0.989247311827957,0.9917582417582418,0.9818840579710144,1.0,,0.9844961240310076,,0.9954545454545456,0.9957627118644068,0.9899665551839464,0.9955156950672646,0.9951314508276532,0.9840255591054312,0.995049504950495,0.9908256880733946,0.9965753424657534,,0.9959016393442623,0.9914893617021276,,,0.9962825278810408,0.978021978021978,,0.9722222222222222,0.981651376146789,1.0,0.982532751091703,0.987603305785124,1.0,0.9959839357429718,0.985200845665962,0.9928057553956836,0.9626168224299064,0.9912854030501088,0.9830508474576272,0.981203007518797,0.9926289926289926,0.9949748743718592,1.0,0.985,0.9951690821256038,0.9724409448818898,0.9930795847750864,0.9924812030075189,0.9816849816849816,1.0,,,,
align-dinosiglip+1b-llama-chat-things+hyp-abl20cat-shuffled-7,0.9935858889557024,0.0,1.0,0.9906040268456376,0.996415770609319,1.0,0.9963768115942028,1.0,0.993006993006993,0.996124031007752,0.9914163090128756,0.9863636363636364,0.9830508474576272,0.9933110367892976,0.9955156950672646,0.9961051606621228,0.9904153354632588,0.995049504950495,0.9954128440366972,0.9965753424657534,0.9895287958115184,0.9959016393442623,1.0,0.9891304347826086,0.9921875,1.0,0.989010989010989,0.9956331877729258,0.9826388888888888,0.9908256880733946,1.0,0.9956331877729258,0.987603305785124,0.9920948616600792,0.9919678714859438,,,,,,,,,,,,,,,,,,,,
align-dinov2+1b-llama-chat-things+hyp-abl30-shuffled-42,0.9919236417033774,0.0,1.0,0.997229916897507,0.9857142857142858,0.9949748743718592,1.0,1.0,0.9932432432432432,1.0,0.9924242424242424,1.0,0.9798657718120806,0.9923076923076924,1.0,0.9909584086799276,1.0,0.9761904761904762,1.0,1.0,0.9753086419753086,1.0,1.0,0.9875,0.9922779922779924,1.0,0.9716312056737588,0.9922779922779924,0.9770114942528736,0.9917355371900828,1.0,0.9516129032258064,1.0,1.0,1.0,0.9906103286384976,1.0,1.0,1.0,0.9952153110047848,0.986206896551724,0.9838056680161944,0.9879518072289156,1.0,0.9662921348314608,1.0,0.9761904761904762,0.98125,0.9923076923076924,0.9850746268656716,1.0,0.9864864864864864,1.0,0.9904761904761904,1.0
align-dinov2+1b-llama-chat-things+hyp-abl10-shuffled-42,0.9899555282932064,0.0,1.0,0.9935379644588044,0.990990990990991,0.9904458598726116,0.991701244813278,1.0,0.983739837398374,0.9773755656108596,0.9953488372093025,1.0,0.9894179894179894,0.9912663755458516,0.9942857142857144,0.9916963226571768,0.992337164750958,1.0,0.9869281045751634,0.9921259842519684,1.0,0.981132075471698,0.9901960784313726,0.990990990990991,0.9930232558139536,0.9906976744186048,0.9757085020242916,0.9923664122137404,0.9790794979079498,0.9891891891891892,0.9936708860759492,0.9705882352941176,0.9844559585492229,1.0,0.9845360824742267,0.9894459102902374,0.9833795013850416,0.9941520467836256,1.0,0.988826815642458,0.9957446808510638,0.9797687861271676,0.987012987012987,0.9939024390243902,0.971264367816092,1.0,0.9714285714285714,0.9882352941176472,0.995475113122172,0.9954954954954957,1.0,0.9805825242718448,0.9887005649717514,0.995475113122172,0.9950248756218906
align-dinov2+1b-llama-chat-things+hyp-abl90-shuffled-218,0.9939024390243902,0.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
align-dinosiglip+1b-things+hyp-abl20cat-shuffled-42,0.9937863299258368,0.0,1.0,0.9986577181208054,0.996415770609319,0.9972527472527472,0.9963768115942028,1.0,0.9825174825174824,0.9806201550387597,0.9957081545064378,0.990909090909091,0.9872881355932204,0.9966555183946488,0.9955156950672646,0.9980525803310614,0.987220447284345,0.9851485148514852,0.9862385321100916,0.9965753424657534,0.9895287958115184,1.0,1.0,0.9891304347826086,0.994140625,0.9962825278810408,0.9926739926739928,0.9934497816593888,0.9930555555555556,0.9954128440366972,1.0,0.9694323144104804,0.9917355371900828,0.9960474308300395,1.0,,,,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl10-local-shuffled-218,0.9960305343511452,0.0,0.9923076923076924,1.0,0.9954337899543378,0.9902912621359224,0.9956896551724138,1.0,0.9958333333333332,0.9907407407407408,0.9903846153846154,0.988826815642458,1.0,1.0,0.9896373056994818,0.998812351543943,0.9961977186311788,1.0,1.0,0.9962121212121212,1.0,1.0,1.0,1.0,0.9976580796252928,0.9905660377358492,1.0,0.9898477157360406,1.0,1.0,1.0,1.0,1.0,0.9906976744186048,0.9790575916230366,0.9973045822102424,1.0,0.9883720930232558,1.0,0.9915966386554622,0.9915966386554622,0.991549295774648,1.0,1.0,0.9941176470588236,1.0,0.9863636363636364,0.9883268482490272,0.9955357142857144,1.0,0.993975903614458,1.0,1.0,0.9951923076923076,1.0
align-dinosiglip+1b-things+hyp-abl20cat-shuffled-7,0.9932852275005012,0.0,1.0,0.9946308724832216,0.996415770609319,0.9972527472527472,0.9927536231884058,0.986046511627907,0.9825174825174824,0.9883720930232558,0.9957081545064378,1.0,0.9872881355932204,0.9933110367892976,1.0,0.9931840311587148,0.9904153354632588,0.995049504950495,1.0,0.9931506849315068,1.0,0.9918032786885246,1.0,0.9963768115942028,0.9921875,0.9888475836431226,0.989010989010989,0.9956331877729258,0.9930555555555556,0.9954128440366972,1.0,0.965065502183406,0.9958677685950412,1.0,0.9919678714859438,,,,,,,,,,,,,,,,,,,,
align-dinosiglip+500m-things+hyp-abl40cat-shuffled-42,0.9911699779249448,0.0,0.99375,,0.989247311827957,0.9917582417582418,,,0.9895104895104896,,,,,,0.9910313901345292,0.994157740993184,0.9968051118210862,,,,,0.9877049180327868,,,,,,,0.9930555555555556,,,,0.987603305785124,,,0.9915433403805496,0.9856115107913668,0.985981308411215,,,,,,,,,,,,,,,,,
align-dinov2+1b-things+hyp-abl70-local-shuffled-7,0.99603567888999,0.0,0.9565217391304348,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894736842105264,1.0,0.9642857142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9893617021276596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,1.0,1.0
