run_name,overall,total_illegal_ratio,mammal,body part,animal,hardware item,musical,clothing accessory,electronic device,sports equipment,home appliance,game,furniture,tool,piece of women's clothing,car part,footwear,vehicle,watercraft,vegetable,outerwear,food,seafood,weapon,piece of jewelry,farm animal,insect,plant,garden tool,fruit,source of light,office supply item,protective clothing item,dessert,item of clothing,drink,medical equipment,bird,container,arts and crafts item,home decor item,kitchen appliance,headwear,school supply,construction equipment,kitchen tool,breakfast food,sea animal,toy,fastener,scientific equipment,candy,personal hygiene item,safety equipment,condiment
align-dinov2+1b-llama-things+hyp-abl30-7,0.9077929009874568,0.0,0.9422382671480144,1.0,1.0,0.8601036269430051,0.9322033898305084,0.9333333333333332,0.981012658227848,0.9329268292682928,0.8992248062015504,0.8115942028985508,0.9328358208955224,0.9105691056910568,0.9152542372881356,0.9456521739130436,0.9158878504672896,0.9822485207100592,0.967391304347826,1.0,0.9615384615384616,0.913232104121475,0.9396551724137931,0.7777777777777778,0.9741379310344828,0.7720588235294118,0.9444444444444444,0.9296875,0.8620689655172413,0.9847328244274808,0.945945945945946,0.90990990990991,0.9080459770114944,0.975,0.9762845849802372,0.9426229508196722,0.7142857142857143,0.9790209790209792,0.875,0.8699186991869918,0.75,0.9042553191489362,0.8795180722891566,0.8636363636363636,0.7984496124031008,0.872,0.9448818897637796,0.9798657718120806,0.8085106382978723,0.8953488372093024,0.6896551724137931,0.953846153846154,0.6276595744680851,0.752,0.9587628865979382
align-dinosiglip+500m-things+hyp-abl30-7,0.855484387510008,0.0,0.9169675090252708,0.7681159420289855,0.9682151589242054,0.7979274611398963,0.7627118644067796,0.8518518518518519,0.879746835443038,0.8353658536585366,0.8372093023255814,0.6811594202898551,0.7089552238805971,0.9471544715447154,0.940677966101695,0.8260869565217391,0.9252336448598132,0.9230769230769232,0.9565217391304348,0.8780487804878049,0.7692307692307693,0.9262472885032538,0.896551724137931,0.6319444444444444,0.8103448275862069,0.7647058823529411,0.7666666666666667,0.8359375,0.8620689655172413,0.8778625954198473,0.8108108108108109,0.972972972972973,0.735632183908046,0.9416666666666668,0.9525691699604744,0.819672131147541,0.8571428571428571,0.965034965034965,0.8,0.8536585365853658,0.6166666666666667,0.8936170212765957,0.8554216867469879,0.9090909090909092,0.7984496124031008,0.856,0.8976377952755905,0.9463087248322148,0.8226950354609929,0.872093023255814,0.6275862068965518,0.9307692307692308,0.574468085106383,0.784,0.8762886597938144
align-siglip+500m-things-7,0.8544433094994893,0.0,0.9041666666666668,0.7950310559006211,0.9556962025316456,0.8448275862068966,0.7728937728937729,0.8602941176470589,0.9118457300275482,0.8223844282238443,0.8571428571428571,0.6411483253588517,0.8260869565217391,0.9407894736842104,0.8346774193548387,0.8640350877192983,0.8379629629629629,0.9156626506024096,0.8049792531120332,0.9087591240875912,0.9063829787234042,0.8842001962708538,0.631578947368421,0.8636363636363636,0.805,0.8990825688073395,0.9489795918367347,0.858085808580858,0.703125,0.8832684824902723,0.881578947368421,0.7602040816326531,0.9023255813953488,0.925925925925926,0.9226190476190476,0.8120300751879699,0.7713178294573644,0.936026936026936,0.8087912087912088,0.6357142857142857,0.726962457337884,0.8952380952380953,0.8418367346938775,0.8146551724137931,0.8345864661654135,0.9051724137931034,0.8983739837398373,0.9598393574297188,0.843065693430657,0.9142857142857144,0.8461538461538461,0.7755905511811023,0.7958333333333333,0.7580645161290323,0.8461538461538461
align-dinov2+1b-llama-chat-things+hyp-abl70-7,0.8362333674513818,0.0,0.9111111111111112,0.674074074074074,0.973463687150838,0.7804154302670623,0.8444444444444444,0.8849206349206349,0.9243986254295532,0.8142414860681114,0.8346153846153846,0.7023809523809523,0.8565217391304348,0.8706697459584296,0.8642533936651584,0.7916666666666666,0.7451923076923077,0.9166666666666666,0.8915094339622641,0.8333333333333334,0.855,0.9152542372881356,0.6966292134831461,0.80078125,0.7584269662921348,0.8274111675126904,0.9693251533742332,0.8287937743190662,0.6861702127659575,0.8090909090909091,0.8064516129032258,0.6378378378378379,0.8227848101265823,0.8795180722891566,0.9475982532751092,0.8853211009174312,0.697560975609756,0.9545454545454546,0.8256130790190735,0.7857142857142857,0.7679324894514767,0.8541666666666666,0.7909604519774012,0.7110091743119266,0.7649769585253456,0.6666666666666666,0.822429906542056,0.9629629629629628,0.7735042735042735,0.7914438502673797,0.7333333333333333,0.8036529680365296,0.7411167512690355,0.8243243243243243,0.7584269662921348
align-dinov2+1b-things+hyp-abl30cat-42,0.831736872475476,0.0,,0.5157232704402516,,,,0.8478260869565217,,0.6407766990291263,0.7619047619047619,0.6824644549763034,,0.8782608695652174,0.9130434782608696,,,,,0.9450171821305842,0.9090909090909092,0.8791748526522594,,,,0.8245614035087719,0.964467005076142,,,0.8949416342412452,,0.7487179487179487,,0.9597069597069596,,,,0.9489795918367347,0.8496732026143791,0.7244897959183674,0.7876712328767124,0.7441860465116279,,0.8285714285714286,0.8160919540229885,0.6140350877192983,0.9112903225806452,0.9802371541501976,,0.8780487804878049,0.7142857142857143,0.8319672131147541,,0.8149606299212598,0.9054726368159204
align-dinosiglip+1b-things-218,0.8063304037702204,0.0,0.5125,0.8616352201257862,0.914032869785082,0.7970297029702971,0.915129151291513,0.8478260869565217,0.8904494382022472,0.7597087378640777,0.7765567765567766,0.7014218009478673,0.8700361010830325,0.9239130434782608,0.8142292490118577,0.7623318385650224,0.7018348623853211,0.9156626506024096,0.8859649122807017,0.9381443298969072,0.8311688311688312,0.8516699410609038,0.6614583333333334,0.7549019607843137,0.7673267326732673,0.8245614035087719,0.9441624365482234,0.9026845637583892,0.8316831683168316,0.8638132295719845,0.8076923076923077,0.6205128205128205,0.8341968911917098,0.9597069597069596,0.7957198443579766,0.7961538461538461,0.6893939393939394,0.7619047619047619,0.7538126361655774,0.6122448979591837,0.7602739726027398,0.8976744186046511,0.8564102564102564,0.7551020408163265,0.7509578544061303,0.7763157894736842,0.9112903225806452,0.9644268774703556,0.7272727272727273,0.8634146341463415,0.6848739495798319,0.7827868852459017,0.6234309623430963,0.6968503937007874,0.7860696517412935
align-dinov2+500m-things+hyp-abl90-42,0.8214990138067061,0.0,0.9083333333333332,0.912751677852349,0.975452196382429,0.5809768637532133,0.8137651821862348,0.7720588235294118,0.8607954545454546,0.7727272727272727,0.7862595419847328,0.7035175879396985,0.7865168539325843,0.9282608695652174,0.9288702928870292,0.7383177570093458,0.7464114832535885,0.8925831202046036,0.9035087719298246,0.9424460431654677,0.8398268398268398,0.9154078549848944,0.5989583333333334,0.7773972602739726,0.7659574468085106,0.8190045248868778,0.8883248730964467,0.900355871886121,0.7760416666666666,0.9595141700404858,0.6769911504424779,0.671875,0.8290155440414507,0.9550561797752808,0.9583333333333334,0.5959183673469388,0.6907630522088354,0.9119718309859156,0.7843601895734598,0.6192170818505338,0.8924731182795699,0.8277511961722488,0.8900523560209425,0.6566523605150214,0.7209302325581395,0.7612612612612613,0.8870967741935484,0.9473684210526316,0.7677902621722846,0.8514851485148515,0.5872340425531914,0.7805907172995781,0.6666666666666666,0.7,0.7929292929292929
align-siglip+1b-llama-things+hyp-abl50-7,0.9148029818956336,0.0,0.9508196721311476,0.7538461538461538,0.9662731871838112,0.8303886925795053,0.9634146341463414,0.946078431372549,0.9423868312757202,0.9562043795620438,0.9516908212560388,0.9384615384615383,0.8905472636815921,0.9661971830985916,0.9545454545454546,0.9245283018867924,0.7942857142857143,0.933852140077821,0.9473684210526316,1.0,0.8901734104046243,0.9252717391304348,0.7672955974842768,0.8697674418604651,0.8702290076335878,0.8491620111731844,0.9383561643835616,0.8981481481481481,0.9054054054054054,0.9746192893401016,0.9295774647887324,0.9787234042553192,0.8918918918918919,0.9696969696969696,0.984,0.9186046511627908,0.8554913294797688,0.9688888888888888,0.90625,0.9061032863849764,0.8426966292134831,0.953216374269006,0.8539325842696629,0.8983050847457628,0.824468085106383,0.9171597633136096,0.9234972677595628,0.8894230769230769,0.8722222222222222,0.8943661971830986,0.8245614035087719,0.9162011173184358,0.8819875776397516,0.8866995073891626,0.9130434782608696
align-siglip+1b-things+hyp-abl10-218,0.9486301369863014,0.0,0.9292929292929292,0.9375,1.0,0.8490566037735849,1.0,0.9661016949152542,0.8909090909090909,0.9827586206896552,0.9714285714285714,0.8571428571428571,1.0,1.0,0.8888888888888888,0.9473684210526316,1.0,0.9491525423728814,0.875,0.967741935483871,1.0,1.0,0.9047619047619048,0.7346938775510204,0.696969696969697,1.0,0.9615384615384616,0.8157894736842105,0.9310344827586208,0.967741935483871,1.0,0.9655172413793104,1.0,0.9375,0.9875,1.0,0.9545454545454546,1.0,0.9701492537313432,0.9148936170212766,0.9333333333333332,0.90625,0.9444444444444444,1.0,0.8936170212765957,1.0,0.95,1.0,0.8444444444444444,0.8857142857142857,0.925925925925926,0.8947368421052632,0.9791666666666666,1.0,0.9318181818181818
align-dinosiglip+500m-things-7,0.53846643739651,0.0,0.48125,0.4779874213836478,0.450063211125158,0.5371287128712872,0.5498154981549815,0.427536231884058,0.8146067415730337,0.4733009708737864,0.4652014652014652,0.5497630331753555,0.5848375451263538,0.5956521739130435,0.2845849802371542,0.4170403587443946,0.518348623853211,0.7831325301204819,0.5043859649122807,0.6597938144329897,0.5887445887445888,0.587426326129666,0.53125,0.5294117647058824,0.495049504950495,0.4342105263157895,0.7563451776649747,0.5302013422818792,0.4653465346534653,0.6186770428015564,0.4017094017094017,0.5333333333333333,0.5284974093264249,0.6776556776556777,0.6498054474708171,0.5076923076923077,0.4621212121212121,0.5204081632653061,0.5860566448801743,0.5136054421768708,0.5,0.5395348837209303,0.6410256410256411,0.4775510204081633,0.4559386973180077,0.4210526315789473,0.6088709677419355,0.4782608695652174,0.6,0.6146341463414634,0.4873949579831932,0.5983606557377049,0.4937238493723849,0.5669291338582677,0.1243781094527363
align-dinov2+1b-llama-chat-things+hyp-abl10-42,0.9277016742770168,0.0,0.898989898989899,1.0,1.0,0.8679245283018868,0.9722222222222222,1.0,0.9454545454545454,0.896551724137931,1.0,0.8095238095238095,1.0,1.0,0.9444444444444444,1.0,1.0,0.9491525423728814,1.0,0.967741935483871,0.96,0.9615384615384616,0.7619047619047619,0.8571428571428571,0.6363636363636364,0.9375,0.8846153846153846,0.8947368421052632,0.9482758620689656,0.935483870967742,0.9,0.9310344827586208,1.0,0.9375,1.0,1.0,0.8863636363636364,1.0,0.9104477611940298,0.7446808510638298,0.8,0.875,1.0,1.0,0.9148936170212766,1.0,0.9166666666666666,1.0,0.7111111111111111,0.8285714285714286,0.7777777777777778,0.9210526315789472,0.8541666666666666,0.847457627118644,0.9090909090909092
align-dinosiglip+500m-things+hyp-abl70-7,0.8534873519520397,0.0,0.9511111111111112,0.6148148148148148,0.9650837988826816,0.7566765578635015,0.7866666666666666,0.8333333333333334,0.865979381443299,0.8328173374613003,0.8653846153846154,0.7738095238095238,0.9,0.8406466512702079,0.9230769230769232,0.8333333333333334,0.8269230769230769,0.9567901234567902,0.910377358490566,0.9111111111111112,0.875,0.912994350282486,0.6348314606741573,0.875,0.8202247191011236,0.7766497461928934,0.9202453987730062,0.906614785992218,0.6968085106382979,0.9318181818181818,0.7204301075268817,0.7675675675675676,0.930379746835443,0.9477911646586346,0.9432314410480348,0.7889908256880734,0.7365853658536585,0.9848484848484848,0.8283378746594006,0.7896825396825397,0.7552742616033755,0.96875,0.8757062146892656,0.8577981651376146,0.7972350230414746,0.7387387387387387,0.8785046728971962,0.9629629629629628,0.7735042735042735,0.8235294117647058,0.6476190476190476,0.8493150684931506,0.7208121827411168,0.7972972972972973,0.7921348314606742
align-dinosiglip+1b-things+hyp-abl90-218,0.8260355029585799,0.0,0.9354166666666668,0.4832214765100671,0.94702842377261,0.7609254498714653,0.7894736842105263,0.6801470588235294,0.9289772727272728,0.8358585858585859,0.8053435114503816,0.5125628140703518,0.8314606741573034,0.9282608695652174,0.8870292887029289,0.7336448598130841,0.7033492822966507,0.9232736572890026,0.8859649122807017,0.8669064748201439,0.9134199134199136,0.8952668680765358,0.65625,0.7431506849315068,0.6063829787234043,0.755656108597285,0.9137055837563453,0.8149466192170819,0.8229166666666666,0.8987854251012146,0.7654867256637168,0.8072916666666666,0.772020725388601,0.9363295880149812,0.9603174603174603,0.6979591836734694,0.7188755020080321,0.795774647887324,0.8744075829383886,0.6903914590747331,0.8494623655913979,0.84688995215311,0.8429319371727748,0.8025751072961373,0.689922480620155,0.7882882882882883,0.8991935483870968,0.8461538461538461,0.7565543071161048,0.8861386138613861,0.7574468085106383,0.7763713080168776,0.7835497835497836,0.824,0.7777777777777778
align-dinov2+1b-llama-things+hyp-abl70-7,0.8681824828191256,0.0,0.9288888888888888,0.8592592592592593,0.9497206703910616,0.8071216617210683,0.8044444444444444,0.9484126984126984,0.9003436426116839,0.8637770897832817,0.8961538461538462,0.9166666666666666,0.9304347826086956,0.928406466512702,0.8914027149321267,0.7291666666666666,0.9278846153846154,0.9691358024691358,0.9764150943396226,0.9629629629629628,0.875,0.9096045197740112,0.6404494382022472,0.84375,0.7415730337078652,0.8071065989847716,0.9570552147239264,0.8793774319066148,0.8457446808510638,0.9136363636363636,0.8225806451612904,0.7081081081081081,0.8670886075949367,0.9598393574297188,0.9585152838427948,0.908256880733945,0.6780487804878049,0.9545454545454546,0.8773841961852861,0.7658730158730159,0.8016877637130801,0.8958333333333334,0.8757062146892656,0.7706422018348624,0.7373271889400922,0.7792792792792793,0.897196261682243,0.897119341563786,0.7905982905982906,0.8235294117647058,0.7,0.8127853881278538,0.7918781725888325,0.7657657657657657,0.8426966292134831
align-dinosiglip+1b-things-42,0.715195516494714,0.0,0.8604166666666667,0.4968553459119497,0.934260429835651,0.4405940594059406,0.7158671586715867,0.7608695652173914,0.9129213483146068,0.6286407766990292,0.6813186813186813,0.4597156398104265,0.4187725631768953,0.9,0.7272727272727273,0.600896860986547,0.573394495412844,0.8289156626506025,0.8552631578947368,0.7594501718213058,0.5844155844155844,0.9459724950884086,0.7447916666666666,0.6339869281045751,0.7326732673267327,0.6798245614035088,0.7055837563451777,0.6711409395973155,0.5841584158415841,0.7821011673151751,0.6837606837606838,0.6358974358974359,0.4300518134715025,0.8241758241758241,0.8618677042801557,0.5923076923076923,0.5795454545454546,0.8503401360544217,0.7777777777777778,0.4625850340136054,0.5787671232876712,0.6046511627906976,0.6051282051282051,0.5346938775510204,0.5900383141762452,0.7324561403508771,0.6532258064516129,0.766798418972332,0.7163636363636363,0.7317073170731707,0.6932773109243697,0.680327868852459,0.5439330543933054,0.7362204724409449,0.5771144278606966
align-dinosiglip+1b-llama-things+hyp-abl50-7,0.8390131345402911,0.0,0.9289617486338798,0.6076923076923076,0.96964586846543,0.8021201413427562,0.8780487804878049,0.9215686274509804,0.8395061728395061,0.7116788321167883,0.8792270531400966,0.7461538461538462,0.845771144278607,0.828169014084507,0.875,0.7421383647798742,0.7371428571428571,0.9027237354085604,0.912280701754386,0.962085308056872,0.9421965317919077,0.9171195652173914,0.7044025157232704,0.827906976744186,0.7175572519083969,0.664804469273743,0.8561643835616438,0.7638888888888888,0.7162162162162162,0.9137055837563453,0.8309859154929577,0.851063829787234,0.7837837837837838,0.9797979797979798,0.9173333333333332,0.8023255813953488,0.6358381502890174,0.9555555555555556,0.8671875,0.7464788732394366,0.7134831460674157,0.9181286549707602,0.8539325842696629,0.7909604519774012,0.7340425531914894,0.7159763313609467,0.8907103825136612,0.9423076923076924,0.7666666666666667,0.7535211267605634,0.6608187134502924,0.9273743016759776,0.8260869565217391,0.7438423645320197,0.8115942028985508
align-dinov2+1b-llama-things-42,0.8141001146350784,0.0,0.8479166666666667,0.8176100628930818,0.8685208596713021,0.6039603960396039,0.9298892988929888,0.9094202898550724,0.8960674157303371,0.7936893203883495,0.8021978021978022,0.8246445497630331,0.8989169675090253,0.9239130434782608,0.9090909090909092,0.8161434977578476,0.7981651376146789,0.9493975903614458,0.956140350877193,0.8797250859106529,0.645021645021645,0.8772102161100196,0.7083333333333334,0.8366013071895425,0.7425742574257426,0.8464912280701754,0.9187817258883249,0.8087248322147651,0.7524752475247525,0.8482490272373541,0.7478632478632479,0.6564102564102564,0.8238341968911918,0.8827838827838828,0.9552529182879378,0.7730769230769231,0.6325757575757576,0.9387755102040816,0.7407407407407407,0.7517006802721088,0.702054794520548,0.8558139534883721,0.764102564102564,0.6775510204081633,0.7088122605363985,0.631578947368421,0.8911290322580645,0.91699604743083,0.7454545454545455,0.775609756097561,0.7142857142857143,0.7540983606557377,0.6569037656903766,0.6811023622047244,0.7114427860696517
align-dinov2+500m-things+hyp-abl70-42,0.8602865916069601,0.0,0.9311111111111112,0.8148148148148148,0.9692737430167596,0.8041543026706232,0.7911111111111111,0.8888888888888888,0.9003436426116839,0.8823529411764706,0.903846153846154,0.9047619047619048,0.8434782608695652,0.9145496535796768,0.8959276018099548,0.796875,0.8269230769230769,0.925925925925926,0.8254716981132075,0.9148148148148147,0.875,0.9220338983050848,0.601123595505618,0.86328125,0.7865168539325843,0.7817258883248731,0.8895705521472392,0.8988326848249028,0.7553191489361702,0.95,0.9408602150537636,0.7567567567567568,0.8860759493670886,0.9678714859437751,0.9694323144104804,0.7477064220183486,0.7707317073170732,0.9204545454545454,0.8746594005449592,0.6984126984126984,0.7215189873417721,0.9583333333333334,0.8418079096045198,0.8486238532110092,0.7880184331797235,0.7522522522522522,0.8691588785046729,0.9423868312757202,0.8290598290598291,0.7433155080213903,0.6714285714285714,0.8949771689497716,0.6548223350253807,0.7657657657657657,0.8426966292134831
