run_name,overall,total_illegal_ratio,body part,clothing accessory,sports equipment,home appliance,game,tool,piece of women's clothing,vegetable,outerwear,food,farm animal,insect,fruit,office supply item,dessert,bird,container,arts and crafts item,home decor item,kitchen appliance,school supply,construction equipment,kitchen tool,breakfast food,sea animal,fastener,scientific equipment,candy,safety equipment,condiment,mammal,animal,hardware item,musical,electronic device,furniture,car part,footwear,vehicle,watercraft,seafood,piece of jewelry,plant,garden tool,source of light,protective clothing item,item of clothing,drink,weapon,medical equipment,headwear,toy,personal hygiene item
align-dinov2+1b-things+hyp-abl40cat-218-random,0.5270053475935829,0.0,,,0.3737864077669903,0.6959706959706959,0.4502369668246445,,0.616600790513834,0.7044673539518901,,,0.3289473684210526,0.5431472081218274,,0.5794871794871795,0.6813186813186813,0.4829931972789115,0.5925925925925926,,0.4623287671232877,0.4883720930232558,0.4163265306122449,0.4942528735632184,,0.6653225806451613,0.5889328063241107,,0.4201680672268907,0.6844262295081968,0.5748031496062992,0.1691542288557214,0.4375,0.3855878634639696,0.5816831683168316,0.5166051660516605,,,0.6995515695067265,0.5688073394495413,,0.6052631578947368,0.6458333333333334,0.4108910891089108,0.4865771812080537,0.698019801980198,0.3888888888888889,0.6269430051813472,0.6906614785992218,0.4269230769230769,,0.4621212121212121,0.5435897435897435,0.5127272727272727,0.5774058577405857
align-dinov2+500m-things+hyp-abl40cat-42-random,0.5067736185383244,0.0,,,0.424757281553398,0.2417582417582417,0.3744075829383886,,0.6324110671936759,0.5326460481099656,,,0.4692982456140351,0.5329949238578681,,0.6256410256410256,0.6410256410256411,0.4149659863945578,0.5773420479302832,,0.5342465753424658,0.3441860465116279,0.5428571428571428,0.4521072796934866,,0.5564516129032258,0.4782608695652174,,0.4243697478991596,0.4754098360655737,0.515748031496063,0.1393034825870646,0.1791666666666666,0.5916561314791403,0.5915841584158416,0.4612546125461255,,,0.6547085201793722,0.6146788990825688,,0.5701754385964912,0.5364583333333334,0.4801980198019802,0.6577181208053692,0.6485148514851485,0.4102564102564102,0.6735751295336787,0.7392996108949417,0.4807692307692308,,0.4848484848484848,0.5230769230769231,0.4545454545454545,0.4100418410041841
align-dinov2+1b-things+hyp-abl30cat-7-random,0.4977495672244662,0.0,0.4716981132075472,0.7898550724637681,0.4199029126213592,0.4505494505494505,0.4834123222748815,0.6065217391304348,0.7430830039525692,0.6357388316151202,0.4415584415584415,0.4774066797642436,0.5394736842105263,0.4923857868020304,0.5175097276264592,0.5384615384615384,0.4981684981684982,0.3401360544217687,0.4553376906318083,0.5544217687074829,0.5034246575342466,0.3395348837209302,0.2857142857142857,0.5095785440613027,0.5877192982456141,0.2379032258064516,0.4624505928853755,0.6097560975609756,0.5168067226890757,0.6557377049180327,0.468503937007874,0.2786069651741293,,,,,,,,,,,,,,,,,,,,,,,
align-dinov2+1b-things+hyp-abl30-42-random,0.8201227648785695,0.0,0.6086956521739131,0.8740740740740741,0.7012195121951219,0.8682170542635659,0.6231884057971014,0.8333333333333334,0.9322033898305084,0.8536585365853658,0.7884615384615384,0.928416485900217,0.5441176470588235,0.8333333333333334,0.916030534351145,0.8378378378378378,0.8666666666666667,0.8041958041958042,0.69,0.8780487804878049,0.6666666666666666,0.8723404255319149,0.8,0.7596899224806202,0.816,0.8346456692913385,0.8791946308724832,0.7325581395348837,0.6275862068965518,0.8076923076923077,0.792,0.9278350515463918,0.9314079422382672,0.9779951100244498,0.7512953367875648,0.6610169491525424,0.8987341772151899,0.753731343283582,0.7934782608695652,0.9252336448598132,0.8224852071005917,0.967391304347826,0.7758620689655172,0.8017241379310345,0.8046875,0.896551724137931,0.8108108108108109,0.7586206896551724,0.9486166007905138,0.9508196721311476,0.5277777777777778,0.7023809523809523,0.6987951807228916,0.7588652482269503,0.6702127659574468
align-siglip+1b-things+hyp-abl90-218-random,0.5166337935568704,0.0,0.2550335570469799,0.6213235294117647,0.404040404040404,0.4541984732824427,0.2763819095477386,0.4826086956521739,0.3807531380753138,0.579136690647482,0.4242424242424242,0.7341389728096677,0.4027149321266968,0.5228426395939086,0.6194331983805668,0.4479166666666667,0.6142322097378277,0.4436619718309859,0.6635071090047393,0.5160142348754448,0.5555555555555556,0.416267942583732,0.6094420600858369,0.3488372093023256,0.5315315315315315,0.3225806451612903,0.437246963562753,0.4653465346534653,0.4638297872340425,0.540084388185654,0.552,0.3939393939393939,0.5708333333333333,0.603359173126615,0.5089974293059126,0.5425101214574899,0.5539772727272727,0.5093632958801498,0.4672897196261682,0.3397129186602871,0.5473145780051151,0.3859649122807017,0.4947916666666667,0.3138297872340425,0.5551601423487544,0.4895833333333333,0.4646017699115044,0.466321243523316,0.6706349206349206,0.436734693877551,0.5342465753424658,0.5421686746987951,0.5968586387434555,0.3782771535580524,0.5021645021645021
align-siglip+1b-things+hyp-abl50-42-random,0.7648207312744054,0.0,0.4076923076923077,0.8578431372549019,0.7445255474452555,0.782608695652174,0.7153846153846154,0.8929577464788733,0.8011363636363636,0.976303317535545,0.6763005780346821,0.9307065217391304,0.6368715083798883,0.684931506849315,0.8324873096446701,0.7801418439716312,0.8787878787878788,0.7422222222222222,0.73828125,0.568075117370892,0.6123595505617978,0.6491228070175439,0.8192090395480226,0.7819148936170213,0.7751479289940828,0.639344262295082,0.5817307692307693,0.7183098591549296,0.6198830409356725,0.9385474860335196,0.5862068965517241,0.8333333333333334,0.855191256830601,0.9325463743676222,0.7455830388692579,0.7621951219512195,0.8106995884773662,0.3781094527363184,0.7735849056603774,0.6228571428571429,0.77431906614786,0.8304093567251462,0.610062893081761,0.732824427480916,0.8796296296296297,0.8040540540540541,0.795774647887324,0.6283783783783784,0.848,0.8546511627906976,0.5953488372093023,0.7456647398843931,0.6797752808988764,0.6777777777777778,0.7080745341614907
align-siglip+500m-things+hyp-abl50-42-random,0.697994320198793,0.0,0.4230769230769231,0.7009803921568627,0.7153284671532847,0.7004830917874396,0.6538461538461539,0.7295774647887324,0.7102272727272727,0.8246445497630331,0.6936416184971098,0.9008152173913044,0.4916201117318435,0.7534246575342466,0.7157360406091371,0.6808510638297872,0.7474747474747475,0.6933333333333334,0.734375,0.6103286384976526,0.7191011235955056,0.4444444444444444,0.768361581920904,0.5904255319148937,0.6094674556213018,0.546448087431694,0.625,0.5845070422535211,0.5146198830409356,0.888268156424581,0.7241379310344828,0.8115942028985508,0.7759562841530054,0.9173693086003372,0.6749116607773852,0.6829268292682927,0.7942386831275721,0.5223880597014925,0.5345911949685535,0.6514285714285715,0.6303501945525292,0.7426900584795322,0.559748427672956,0.5267175572519084,0.6157407407407407,0.6351351351351351,0.6690140845070423,0.6148648648648649,0.856,0.6104651162790697,0.5813953488372093,0.6936416184971098,0.5730337078651685,0.6555555555555556,0.5652173913043478
align-dinov2+500m-things+hyp-abl30-7-random,0.7899653055777955,0.0,0.8260869565217391,0.8,0.7682926829268293,0.8294573643410853,0.3623188405797101,0.8455284552845529,0.9322033898305084,0.7987804878048781,0.6442307692307693,0.9240780911062908,0.7647058823529411,0.8888888888888888,0.7251908396946565,0.8828828828828829,0.8416666666666667,0.916083916083916,0.705,0.8211382113821138,0.6166666666666667,0.925531914893617,0.8454545454545455,0.7209302325581395,0.72,0.8740157480314961,0.8791946308724832,0.7906976744186046,0.6551724137931034,0.8076923076923077,0.744,0.8969072164948454,0.8700361010830325,0.9511002444987776,0.7927461139896373,0.7033898305084746,0.8291139240506329,0.5522388059701493,0.6630434782608695,0.897196261682243,0.6568047337278107,0.8586956521739131,0.6810344827586207,0.6637931034482759,0.734375,0.75,0.7027027027027027,0.7471264367816092,0.8893280632411067,0.7213114754098361,0.5347222222222222,0.6547619047619048,0.8795180722891566,0.6879432624113475,0.6808510638297872
align-dinov2+500m-things+hyp-abl10-218-random,0.8489345509893456,0.0,0.96875,0.9152542372881356,0.6551724137931034,1.0,0.5714285714285714,0.9431818181818182,0.5555555555555556,0.8548387096774194,1.0,0.8956043956043956,0.953125,0.7692307692307693,0.8387096774193549,0.7586206896551724,0.8125,0.5769230769230769,0.8805970149253731,0.7872340425531915,0.6666666666666666,0.90625,0.8064516129032258,0.6808510638297872,0.9130434782608696,0.75,0.8333333333333334,0.7714285714285715,0.7777777777777778,0.8947368421052632,0.7966101694915254,0.8636363636363636,0.8787878787878788,0.9242424242424242,0.6792452830188679,0.8611111111111112,1.0,0.9736842105263158,1.0,0.8918918918918919,0.847457627118644,0.9583333333333334,0.7857142857142857,0.6666666666666666,0.7894736842105263,0.9482758620689656,0.9333333333333332,0.8421052631578947,0.9625,0.9361702127659576,0.8163265306122449,0.7272727272727273,0.9166666666666666,0.6,0.8125
align-dinov2+1b-things+hyp-abl30-218-random,0.8047771550573792,0.0,0.6376811594202898,0.8,0.7439024390243902,0.9147286821705426,0.4202898550724637,0.8617886178861789,0.8898305084745762,0.8902439024390244,0.6826923076923077,0.8546637744034707,0.6911764705882353,0.7888888888888889,0.8473282442748091,0.8108108108108109,0.8833333333333333,0.8881118881118881,0.725,0.7886178861788617,0.7333333333333333,0.8617021276595744,0.7363636363636363,0.8449612403100775,0.736,0.8110236220472441,0.8523489932885906,0.6627906976744186,0.6206896551724138,0.8,0.752,0.9381443298969072,0.9422382671480144,0.9731051344743276,0.7979274611398963,0.635593220338983,0.8670886075949367,0.6940298507462687,0.75,0.9626168224299064,0.8106508875739645,0.9347826086956522,0.8879310344827587,0.6637931034482759,0.7265625,0.6810344827586207,0.8468468468468469,0.8390804597701149,0.9367588932806324,0.7704918032786885,0.5347222222222222,0.6309523809523809,0.7590361445783133,0.75177304964539,0.6595744680851063
