run_name,overall,total_illegal_ratio,mammal,construction equipment,scientific equipment,furniture,animal,game,outerwear,condiment,electronic device,vehicle,item of clothing,home appliance,home decor item,fruit,food,seafood,body part,drink,tool,school supply,protective clothing item,car part,sports equipment,office supply item,farm animal,footwear,watercraft,container,kitchen appliance,fastener,source of light,musical,plant,vegetable,clothing accessory,piece of jewelry,sea animal,arts and crafts item,headwear,weapon,medical equipment,insect,garden tool,candy,safety equipment,toy,dessert,kitchen tool,breakfast food,personal hygiene item,piece of women's clothing,bird,hardware item
align-dinov2+500m-things+hyp-abl30cat-42,0.995992456388496,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,0.9933333333333332,1.0,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9859154929577464,1.0,1.0,1.0,1.0,0.9857142857142858,0.9791666666666666,1.0,1.0,0.9857142857142858,0.9583333333333334,1.0,1.0,1.0,1.0,0.991150442477876,1.0,1.0,1.0,0.9901960784313726,1.0,1.0,0.9818181818181818
align-dinov2+500m-things+hyp-abl10cat-218,0.9845452744204478,0.0,0.9974937343358397,0.952127659574468,1.0,1.0,0.9985250737463128,0.9933333333333332,1.0,0.9809523809523808,0.987987987987988,0.9946380697050938,1.0,0.9748743718592964,0.97008547008547,0.9864864864864864,0.981294964028777,1.0,1.0,1.0,0.972644376899696,0.9814814814814816,1.0,1.0,0.9872611464968152,0.9731543624161074,0.9863945578231292,1.0,0.9631901840490796,1.0,0.9735099337748344,0.9723756906077348,1.0,0.981651376146789,1.0,0.9954954954954957,0.9861111111111112,1.0,1.0,0.9478260869565216,0.9801980198019802,0.9615384615384616,0.9693251533742332,1.0,0.989247311827957,0.9629629629629628,0.9758064516129032,0.9752475247524752,0.9906542056074766,0.9526627218934912,1.0,0.9903846153846154,1.0,1.0,0.9571428571428572
align-dinov2+1b-things+hyp-abl10cat-42,0.9858331682187438,0.0,1.0,0.9574468085106383,1.0,1.0,1.0,0.98,1.0,1.0,0.981981981981982,0.9946380697050938,1.0,0.984924623115578,0.9743589743589745,0.9864864864864864,0.9913669064748202,1.0,0.9829059829059827,0.9936305732484076,0.9878419452887538,0.9876543209876544,1.0,1.0,0.9936305732484076,0.9798657718120806,0.9659863945578232,1.0,0.9938650306748468,1.0,0.9668874172185432,0.9723756906077348,0.9710144927536232,0.9954128440366972,1.0,0.990990990990991,0.9791666666666666,0.9928057553956836,1.0,0.9652173913043478,0.99009900990099,0.9444444444444444,0.9631901840490796,0.9941520467836256,0.989247311827957,0.9703703703703704,0.9758064516129032,0.9702970297029704,1.0,0.9467455621301776,1.0,1.0,1.0,1.0,0.9535714285714286
align-dinov2+1b-things+hyp-abl90-7,0.9782608695652174,0.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,1.0,1.0,0.967741935483871,1.0,0.75,1.0,1.0,0.9230769230769232,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.9090909090909092
align-dinov2+500m-things+hyp-abl70-218,0.9769565217391304,0.0,0.9846153846153848,0.9705882352941176,0.8928571428571429,0.967741935483871,0.99,1.0,0.8518518518518519,0.9166666666666666,0.9242424242424242,0.9887640449438202,1.0,1.0,0.9655172413793104,0.9722222222222222,0.9790209790209792,1.0,1.0,0.9777777777777776,0.9636363636363636,1.0,0.9285714285714286,0.9591836734693876,1.0,0.9705882352941176,1.0,1.0,0.9565217391304348,0.99009900990099,1.0,1.0,0.975,1.0,0.981132075471698,0.96875,0.9772727272727272,0.945945945945946,0.96,0.9777777777777776,0.9545454545454546,0.9655172413793104,1.0,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9772727272727272,0.9523809523809524,1.0,0.9545454545454546
align-dinov2+1b-things+hyp-abl40cat-218,0.9929210134128168,0.0,1.0,1.0,1.0,0.9924812030075189,1.0,1.0,0.96,1.0,0.992,1.0,1.0,1.0,1.0,0.9863945578231292,1.0,1.0,1.0,1.0,0.9863945578231292,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,0.96,0.9830508474576272,1.0,1.0,0.9797979797979798,1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,0.975,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl90-7,0.9565217391304348,0.0,0.8888888888888888,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,0.9230769230769232,0.8333333333333334,1.0,0.935483870967742,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9523809523809524,1.0,1.0,1.0,0.9,0.8913043478260869,0.8,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.8,1.0,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.9,1.0,1.0,0.8636363636363636
align-dinov2+500m-things+hyp-abl40cat-7,0.9891952309985096,0.0,1.0,1.0,1.0,0.9924812030075189,1.0,1.0,1.0,1.0,0.976,0.9948979591836736,1.0,1.0,1.0,0.9863945578231292,1.0,1.0,1.0,1.0,0.979591836734694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,0.9696969696969696,1.0,0.9552238805970148,1.0,1.0,0.896551724137931,1.0,1.0,1.0,0.9666666666666668,0.9875,0.96,0.9545454545454546,1.0,1.0,1.0
align-dinov2+1b-things+hyp-abl30-42,0.979714777477256,0.0,1.0,0.9722222222222222,0.9457364341085271,1.0,0.9973684210526316,1.0,0.954954954954955,0.9887640449438202,0.971153846153846,0.9959514170040484,0.996031746031746,0.986842105263158,0.9502762430939228,0.9926470588235294,0.9817518248175182,0.9705882352941176,0.9894736842105264,0.992063492063492,0.9554655870445344,0.967741935483871,0.9896907216494846,0.9555555555555556,0.9844559585492229,0.98,1.0,0.9897959183673468,1.0,0.9870967741935484,0.9893617021276596,0.9705882352941176,0.9807692307692308,0.9935897435897436,0.9875,0.9933333333333332,0.9722222222222222,0.9789473684210528,0.9747899159663864,0.9657534246575342,0.9775280898876404,0.9620253164556962,0.9788732394366196,1.0,0.978494623655914,0.9886363636363636,0.9583333333333334,0.9622641509433962,0.9700598802395208,0.9848484848484848,0.9513888888888888,0.9689922480620154,0.9823008849557522,1.0,0.9427083333333334
align-dinov2+500m-things+hyp-abl10cat-42,0.9857340994650288,0.0,0.9974937343358397,0.925531914893617,1.0,1.0,0.9985250737463128,0.9666666666666668,0.9901960784313726,0.9809523809523808,0.978978978978979,1.0,1.0,0.9899497487437184,0.97008547008547,0.9864864864864864,0.9856115107913668,0.9912280701754386,1.0,1.0,0.9787234042553192,0.9938271604938272,1.0,1.0,0.9872611464968152,0.9798657718120806,0.9727891156462584,1.0,0.98159509202454,1.0,0.9867549668874172,0.9723756906077348,0.9927536231884058,0.9954128440366972,0.9953917050691244,0.9954954954954957,0.9791666666666666,1.0,1.0,0.9739130434782608,0.99009900990099,0.9572649572649572,0.950920245398773,1.0,1.0,0.9851851851851852,0.9758064516129032,0.9603960396039604,1.0,0.9644970414201184,1.0,1.0,1.0,1.0,0.9642857142857144
